side,entry_time,exit_time,reason,qty,entry_px,exit_px,pnl
short,2023-07-16 01:00:00,2023-07-16 02:15:00,TP2,0.0012503102554326517,30330.920000000002,30221.730000000003,0.09866657714637761
short,2023-07-17 01:30:00,2023-07-17 09:30:00,TP1,0.0012523478764182334,30312.480000000003,30215.370000000006,0.08371454007314012
short,2023-07-17 01:30:00,2023-07-17 10:15:00,TP2,0.0012523478764182334,30312.480000000003,30118.25000000001,0.20540337984375195
short,2023-07-18 02:00:00,2023-07-18 06:30:00,TP1,0.0012608399324171612,30177.11,29959.84,0.23603115812939002
short,2023-07-18 02:00:00,2023-07-18 12:45:00,TP2,0.0012608399324171612,30177.11,29742.56,0.5101234362952471
long,2023-08-06 09:00:00,2023-08-06 12:30:00,SL,0.002632027524300926,29082.03,29045.9,-0.17159231029830432
short,2023-08-07 18:00:00,2023-08-07 18:15:00,SL,0.0026246949870078603,29124.050000000003,29153.92,-0.1548805871179098
short,2023-08-12 01:00:00,2023-08-12 01:30:00,TP1,0.0012967899525181642,29437.620000000003,29423.330000000005,-0.019634015856356043
short,2023-08-12 01:00:00,2023-08-12 01:45:00,TP2,0.0012967899525181642,29437.620000000003,29409.03000000001,-0.001080647487191451
long,2023-08-13 00:30:00,2023-08-13 04:15:00,SL,0.002592743740509899,29442.32,29399.940000000002,-0.18616193036903073
short,2023-08-13 17:15:00,2023-08-13 18:30:00,SL,0.0025925002968460644,29402.0,29416.589999999997,-0.11406818534850849
short,2023-08-20 23:00:00,2023-08-21 07:00:00,TP1,0.001456031698097523,26151.99,26020.86,0.152946774881486
short,2023-08-20 23:00:00,2023-08-21 10:45:00,TP2,0.001456031698097523,26151.99,25889.72,0.34398624376843856
long,2023-08-22 23:30:00,2023-08-23 17:30:00,TP1,0.0014694209456383844,26015.149999999998,26592.939999999995,0.8103650135023834
long,2023-08-22 23:30:00,2023-08-29 14:15:00,TP2,0.0014694209456383844,26015.149999999998,27170.73999999999,1.6589719201810404
long,2023-08-31 12:00:00,2023-08-31 13:00:00,SL,0.002858357889110248,27266.01,27178.820000000003,-0.3270316290273915
long,2023-08-31 14:15:00,2023-08-31 15:30:00,SL,0.002864673690576196,27137.399999999998,27016.655659149154,-0.4234599857637601
short,2023-09-06 03:15:00,2023-09-06 14:30:00,TP1,0.0015013504921691438,25805.34,25584.969999999994,0.2922751743537112
short,2023-09-06 03:15:00,2023-09-06 17:45:00,SL,0.0015013504921691438,25805.34,25915.55,-0.2042894295704231
short,2023-09-06 18:15:00,2023-09-06 23:15:00,SL,0.0030185860827839635,25687.030000000002,25778.059999999998,-0.3524577933274218
short,2023-09-10 00:15:00,2023-09-10 15:00:00,TP1,0.0014945749583300033,25869.24,25717.47,0.18828153895142927
short,2023-09-10 00:15:00,2023-09-10 22:30:00,SL,0.0014945749583300033,25869.24,25945.149999999998,-0.15217342997439715
long,2023-09-17 00:00:00,2023-09-17 00:15:00,SL,0.002917261215443223,26514.149999999998,26505.340000000004,-0.10303692222782732
short,2023-09-18 00:15:00,2023-09-18 02:15:00,SL,0.0029178744792184973,26487.390000000003,26600.059999999998,-0.4062081753344264
short,2023-09-24 16:15:00,2023-09-24 17:45:00,SL,0.002900173024409791,26565.02,26628.859999999997,-0.2622827737981567
long,2023-10-01 00:00:00,2023-10-01 06:30:00,TP1,0.0014248298455789622,26980.69,27136.120000000003,0.18290767988058065
long,2023-10-01 00:00:00,2023-10-01 22:15:00,TP2,0.0014248298455789622,26980.69,27291.560000000005,0.4042724933017795
long,2023-10-08 00:00:00,2023-10-08 09:45:00,SL,0.0027619745257177544,27964.809999999998,27849.940000000002,-0.3943474725988381
long,2023-10-08 22:00:00,2023-10-08 22:15:00,TP1,0.001383761003437013,27823.26,27854.21,0.004305247178359468
long,2023-10-08 22:00:00,2023-10-08 22:30:00,TP2,0.001383761003437013,27823.26,27885.17,0.04712506722443498
long,2023-10-15 03:45:00,2023-10-15 13:00:00,SL,0.0028657364451447273,26880.469999999998,26815.7,-0.2625532852188583
short,2023-11-07 18:00:00,2023-11-07 18:45:00,SL,0.0021790307582248707,35279.36,35449.08144336752,-0.4468879701213446
long,2023-11-26 00:30:00,2023-11-26 01:00:00,SL,0.0020287463066904496,37760.6,37711.7,-0.17576276933838275
long,2023-11-30 02:15:00,2023-11-30 08:30:00,SL,0.002022771552797788,37820.0,37580.78999999999,-0.5601264696800118
long,2023-12-07 16:15:00,2023-12-11 02:00:00,SL,0.0017448367852775672,43651.73,42954.939999999995,-1.2913420754467677
short,2024-01-21 15:15:00,2024-01-21 16:30:00,TP1,0.0009031699216865265,41736.52,41555.54999999999,0.12583321455811397
short,2024-01-21 15:15:00,2024-01-22 01:15:00,TP2,0.0009031699216865265,41736.52,41374.56999999998,0.2893706348311644
long,2024-02-01 14:15:00,2024-02-02 00:15:00,TP1,0.000892224981361163,42388.11,43384.50000000001,0.8507398164991808
long,2024-02-01 14:15:00,2024-02-07 21:30:00,TP2,0.000892224981361163,42388.11,44380.900000000016,1.7393082814417373
long,2024-02-26 05:30:00,2024-02-26 07:30:00,SL,0.001496851599044463,51570.57,51399.939999999995,-0.3324735746189256
long,2024-03-27 15:00:00,2024-03-27 15:15:00,SL,0.0011089218269276547,69431.40999999999,69406.94,-0.10411575546971544
short,2024-04-15 01:30:00,2024-04-15 06:15:00,SL,0.0011766290407304837,65383.0,66003.95227211085,-0.8079273280814232
short,2024-06-09 00:30:00,2024-06-09 12:30:00,SL,0.0011028098697811936,69320.0,69490.06,-0.26408439855144705
short,2024-06-16 05:00:00,2024-06-16 06:45:00,SL,0.0011526702758083748,66184.0,66287.81999999999,-0.19601839268253543
short,2024-06-23 05:15:00,2024-06-23 15:45:00,TP1,0.0005917036312758055,64365.6,64054.729999999996,0.14594952005939255
short,2024-06-23 05:15:00,2024-06-23 20:30:00,TP2,0.0005917036312758055,64365.6,63743.84999999999,0.3299903193628632
short,2024-06-30 00:00:00,2024-06-30 07:00:00,SL,0.0012546157269797392,60940.0,61090.060000000005,-0.26481805221072646
long,2024-07-18 00:15:00,2024-07-18 00:30:00,TP1,0.0005948464079858004,64132.01,64280.100000000006,0.04989806337093068
long,2024-07-18 00:15:00,2024-07-18 00:45:00,TP2,0.0005948464079858004,64132.01,64428.20000000001,0.13795076801711983
long,2024-07-23 15:00:00,2024-07-23 16:30:00,SL,0.001141198369760504,66956.01999999999,66256.33,-0.8744959456636959
long,2024-09-06 12:15:00,2024-09-06 14:00:00,SL,0.0013575934898519327,55897.0,55279.939999999995,-0.9131831838308698
long,2024-09-11 12:30:00,2024-09-11 13:45:00,SL,0.0013334539285888999,56498.01,56099.939999999995,-0.605880094742671
long,2024-09-11 15:30:00,2024-09-12 14:30:00,TP1,0.0006588381698458534,56898.62,58495.93000000001,1.0143556300103904
long,2024-09-11 15:30:00,2024-09-13 21:00:00,TP2,0.0006588381698458534,56898.62,60093.250000000015,2.0662048277758447
long,2024-09-22 02:00:00,2024-09-22 03:00:00,TP1,0.0006109614234973169,62870.01,63205.75367340533,0.1666127186127289
long,2024-09-22 02:00:00,2024-09-22 09:30:00,SL,0.0006109614234973169,62870.01,62702.113163297334,-0.140938351912273
long,2024-09-23 00:15:00,2024-09-23 03:15:00,TP1,0.0006079700113226429,63192.020000000004,64717.810000000005,0.8887518931792873
long,2024-09-23 00:15:00,2024-09-27 14:15:00,TP2,0.0006079700113226429,63192.020000000004,66243.61000000002,1.8159287161337438
long,2024-10-06 01:00:00,2024-10-06 14:45:00,TP1,0.0006325545846474315,62018.770000000004,62656.38000000001,0.3638912098550007
long,2024-10-06 01:00:00,2024-10-07 00:30:00,TP2,0.0006325545846474315,62018.770000000004,63294.00000000002,0.7670189993907708
long,2024-10-17 15:15:00,2024-10-17 15:30:00,TP1,0.0005881320523060017,67280.01,67665.4,0.1869773511719222
long,2024-10-17 15:15:00,2024-10-17 18:00:00,SL,0.0005881320523060017,67280.01,67087.29000000001,-0.15285766707631288
long,2024-10-20 00:30:00,2024-10-20 20:45:00,TP1,0.0005796816750482327,68278.45,68815.42000000001,0.27153626695043626
long,2024-10-20 00:30:00,2024-10-20 22:45:00,TP2,0.0005796816750482327,68278.45,69352.40000000002,0.5826580940849087
short,2024-10-27 04:30:00,2024-10-27 12:30:00,SL,0.0011864787661655283,67150.0,67454.61,-0.4412660527581783
short,2024-11-04 13:30:00,2024-11-04 16:45:00,TP1,0.0005763340183120966,68889.99,67669.9,0.6638273173304333
short,2024-11-04 13:30:00,2024-11-05 14:30:00,SL,0.0005763340183120966,68889.99,69500.06,-0.3914835413571124
long,2024-11-09 17:00:00,2024-11-09 17:45:00,TP1,0.0005244483308026915,75861.33,76198.42134880385,0.13691325381963051
long,2024-11-09 17:00:00,2024-11-09 19:00:00,TP2,0.0005244483308026915,75861.33,76535.5226976077,0.3136170973912968
long,2024-11-17 04:15:00,2024-11-17 04:30:00,SL,0.0008829601037671842,90424.26,90299.94,-0.18955572929295034
short,2024-12-21 10:30:00,2024-12-22 14:45:00,TP1,0.0004057916043983501,98236.73000000001,95628.90000000001,1.0189009971804517
short,2024-12-21 10:30:00,2024-12-23 16:15:00,TP2,0.0004057916043983501,98236.73000000001,93021.06000000001,2.0776696945834505
long,2025-01-05 14:45:00,2025-01-05 18:00:00,SL,0.0008337352675763597,97855.06999999999,97586.7288023521,-0.3051988804327718
short,2025-01-13 01:15:00,2025-01-13 01:30:00,TP1,0.0004276380680604317,95176.40000000001,94900.89000000001,0.07717642159244609
short,2025-01-13 01:15:00,2025-01-13 01:45:00,TP2,0.0004276380680604317,95176.40000000001,94625.37000000002,0.19505817352470775
long,2025-02-16 03:00:00,2025-02-16 07:45:00,SL,0.0008363654451442932,97523.68999999999,97304.32,-0.26494719535640093
short,2025-02-23 00:15:00,2025-02-23 12:15:00,TP1,0.00042162927006422855,96537.98000000001,95966.81000000001,0.20023916313680087
short,2025-02-23 00:15:00,2025-02-23 17:00:00,TP2,0.00042162927006422855,96537.98000000001,95395.63000000002,0.44118578271532166
short,2025-02-24 00:45:00,2025-02-24 03:15:00,TP1,0.00042490177416467555,96247.34000000001,95664.2414873179,0.2069878068230604
short,2025-02-24 00:45:00,2025-02-24 04:30:00,TP2,0.00042490177416467555,96247.34000000001,95081.13297463578,0.4548755303129998
long,2025-03-16 01:45:00,2025-03-16 03:45:00,TP1,0.0004899792263222305,83869.31999999999,84245.40486875907,0.1430874116137855
long,2025-03-16 01:45:00,2025-03-16 10:15:00,SL,0.0004899792263222305,83869.31999999999,83681.25256562047,-0.1331972859514614
long,2025-03-31 12:15:00,2025-03-31 14:15:00,TP1,0.0005003938473829656,82129.68999999999,83589.13999999998,0.6888374590993158
long,2025-03-31 12:15:00,2025-04-01 15:15:00,TP2,0.0005003938473829656,82129.68999999999,85048.59999999998,1.4187771111986038
long,2025-04-16 19:30:00,2025-04-17 18:15:00,TP1,0.0004959666804919419,84137.65999999999,85388.65,0.578409657015243
long,2025-04-16 19:30:00,2025-04-21 00:30:00,TP2,0.0004959666804919419,84137.65999999999,86639.65,1.1985537471520147
long,2025-04-24 07:00:00,2025-04-24 07:30:00,SL,0.0009126967603457932,92610.31,92200.70662227043,-0.45818188395414944
short,2025-04-27 01:15:00,2025-04-27 01:45:00,TP1,0.0004447269029312685,94721.3,94070.34172008911,0.24751829870149353
short,2025-04-27 01:15:00,2025-04-28 00:00:00,TP2,0.0004447269029312685,94721.3,93419.37344017823,0.5371661572862723
short,2025-04-28 13:15:00,2025-04-28 13:45:00,TP1,0.00044562111292012913,95059.49,94271.75807265847,0.30884497740630523
short,2025-04-28 13:15:00,2025-04-28 16:15:00,TP2,0.00044562111292012913,95059.49,93484.01614531694,0.6600549289792628
short,2025-04-30 12:15:00,2025-04-30 12:30:00,TP1,0.00044929739004276754,94928.63,94425.81999999999,0.18337299059841758
short,2025-04-30 12:15:00,2025-04-30 13:30:00,TP2,0.00044929739004276754,94928.63,93922.99999999999,0.40940166211655576
long,2025-05-03 00:45:00,2025-05-03 01:15:00,SL,0.0008858079495206138,96700.45999999999,96561.51000000001,-0.208679509268881
long,2025-05-15 19:30:00,2025-05-18 23:45:00,TP1,0.00041494173826914525,103066.06999999999,106432.13999999998,1.3532581612247814
long,2025-05-15 19:30:00,2025-05-21 16:45:00,TP2,0.00041494173826914525,103066.06999999999,109798.21999999997,2.749286884034604
short,2025-06-01 01:15:00,2025-06-01 16:00:00,SL,0.0008429988764584881,104382.53,104900.06,-0.5244897026497216
long,2025-06-12 17:15:00,2025-06-12 20:00:00,SL,0.0008106069895366264,108165.43999999999,106599.94,-1.3560504011888215
short,2025-06-14 00:00:00,2025-06-14 00:15:00,SL,0.0008198933065880477,105947.97,105981.06,-0.11400986609934442
long,2025-06-29 02:00:00,2025-06-29 06:45:00,TP1,0.0004047235775648855,107230.75,107383.08000000003,0.018221904034220415
long,2025-06-29 02:00:00,2025-06-29 08:30:00,TP2,0.0004047235775648855,107230.75,107535.42000000006,0.07984666604556231
short,2025-07-06 00:45:00,2025-07-06 04:30:00,TP1,0.0004013441030882645,108206.98000000001,107981.96939791353,0.04692359828289752
short,2025-07-06 00:45:00,2025-07-06 13:15:00,SL,0.0004013441030882645,108206.98000000001,108319.51030104324,-0.08861418776480667
long,2025-07-13 00:00:00,2025-07-13 06:30:00,TP1,0.00037006244595248213,117320.0,117960.05000000003,0.1933243131384869
long,2025-07-13 00:00:00,2025-07-13 12:45:00,TP2,0.00037006244595248213,117320.0,118600.11000000006,0.4300680512102643
short,2025-07-20 01:45:00,2025-07-20 03:30:00,SL,0.0007393977521085894,117941.24,118141.06,-0.23502581979264558
long,2025-08-09 03:30:00,2025-08-09 04:30:00,TP1,0.00037393791044739014,116415.68,116608.99,0.028717558377343248
long,2025-08-09 03:30:00,2025-08-09 05:15:00,TP2,0.00037393791044739014,116415.68,116802.31000000001,0.10097109038661146
long,2025-08-10 00:45:00,2025-08-10 03:00:00,TP1,0.00037320202811302644,116749.48,117528.73000000001,0.2471011288497365
long,2025-08-10 00:45:00,2025-08-10 03:15:00,TP2,0.00037320202811302644,116749.48,118307.99000000002,0.5377771305708833
short,2025-08-17 01:30:00,2025-08-17 04:30:00,SL,0.000746357052350711,117387.8,117771.45999999999,-0.3741037327681528
short,2025-08-21 01:00:00,2025-08-21 01:45:00,SL,0.0007652523538722673,114195.99,114444.06,-0.277319819651074
