zone_pct,htf_rule,rr1,rr2,score_threshold,sl_method,tp2_enabled,use_htf_filter,num_trades,round_trips,win_rate,total_pnl_pct,profit_factor,cagr_pct,max_dd_pct,positive_years,years_present,years
0.2,4h,1.0,2.0,4,ATR,False,True,631,631,56.25990491283677,-0.3411583878896588,0.9782719052193337,-0.07331103520422655,-1.6003225753554138,2,5,4.659822039698836
0.2,4h,1.0,2.0,4,ATR,False,False,1970,1970,49.59390862944162,-15.698027920803323,0.7248636312860608,-3.598288824248441,-16.106302423118642,0,5,4.659822039698836
0.2,4h,1.5,3.0,4,Swing,True,True,782,537,50.38363171355499,0.3981540037298782,1.0164570121958447,0.085310756024648,-2.4758466594550095,3,5,4.659822039698836
0.2,4h,1.5,3.0,4,Swing,True,False,2016,1453,44.642857142857146,-11.310222806388524,0.8328080596641387,-2.542864492739305,-14.035129131872242,1,5,4.659822039698836
0.2,4h,1.5,3.0,4,Swing,False,True,587,587,43.441226575809196,-0.45989245633785375,0.9796550890128477,-0.09887186616998056,-2.684430054423896,2,5,4.659822039698836
0.2,4h,1.5,3.0,4,Swing,False,False,1739,1739,37.83783783783784,-12.740009911413978,0.8181329953719404,-2.8821844450452216,-15.21425530698082,1,5,4.659822039698836
0.2,4h,1.5,3.0,4,ATR,True,True,854,578,52.341920374707264,1.5397977400416973,1.0712411199017395,0.32846132839323694,-1.4078794752551111,3,5,4.659822039698836
0.2,4h,1.5,3.0,4,ATR,True,False,2415,1729,46.00414078674948,-14.522306210045222,0.7935700616062099,-3.3113318458674934,-15.039280488369094,0,5,4.659822039698836
0.2,4h,1.5,3.0,4,ATR,False,True,615,615,46.99186991869919,0.8480945481125657,1.043736225614399,0.18139838047870338,-1.4214390101793013,2,5,4.659822039698836
0.2,4h,1.5,3.0,4,ATR,False,False,1914,1914,39.759665621734584,-14.125712594384208,0.7899800714195994,-3.215234955268498,-14.58618511863787,0,5,4.659822039698836
0.2,4h,2.0,4.0,4,Swing,True,True,711,514,44.303797468354425,0.7112473948186468,1.0282452974036271,0.15212005863469713,-2.711254754248145,2,5,4.662559890485968
0.2,4h,2.0,4.0,4,Swing,True,False,1688,1275,39.27725118483412,-7.724903930356166,0.8833233380228723,-1.7095058660720808,-11.295482857403877,2,5,4.662559890485968
0.2,4h,2.0,4.0,4,Swing,False,True,571,571,38.17863397548161,1.8626144099117634,1.0757520740757822,0.3968261932372208,-2.290875970250493,3,5,4.659822039698836
0.2,4h,2.0,4.0,4,Swing,False,False,1626,1626,31.918819188191883,-9.810427601785786,0.8695419872192871,-2.1915161462378707,-14.496864841869147,1,5,4.659822039698836
0.2,4h,2.0,4.0,4,ATR,True,True,794,565,46.34760705289673,2.0247625490478045,1.086086109059118,0.43084742989409897,-1.4999081935816125,2,5,4.662559890485968
